Model_Type,Num_Features,Features_Used,Pickle_File,Val_Accuracy,Val_F1,Val_Precision,Val_Recall,Test_Accuracy,Test_F1,Test_Precision,Test_Recall
Simple_LR_No_Weights,4,dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_svd_vgd_0e142281.pkl,0.6818,0.666527,0.700132,0.636,0.795547,0.78617,0.872165,0.715611
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_sld_svd_vgd_e0b7df86.pkl,0.6816,0.654063,0.715985,0.602,0.844363,0.847965,0.870698,0.826389
Simple_LR_No_Weights,5,sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_sld_svd_vgd_fda071a1.pkl,0.68,0.652174,0.714286,0.6,0.846026,0.849405,0.873306,0.826778
Simple_LR_No_Weights,4,verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_fwa_lex_svd_vgd_12334f8f.pkl,0.6672,0.652174,0.683012,0.624,0.760125,0.733439,0.880773,0.628333
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_sld_svd_vgd_c5145a85.pkl,0.6734,0.650246,0.699862,0.6072,0.810487,0.80892,0.859734,0.763778
Simple_LR_No_Weights,4,sentence_length_deviation | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_fwa_sld_svd_vgd_ed15f806.pkl,0.6712,0.648116,0.697053,0.6056,0.811537,0.810046,0.860589,0.765111
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_sld_svd_vgd_d47bbd77.pkl,0.6712,0.647362,0.697965,0.6036,0.80859,0.806158,0.861066,0.757833
Simple_LR_No_Weights,5,dependency_tree_depth | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_lex_svd_vgd_f58b96f2.pkl,0.6678,0.646521,0.690769,0.6076,0.76774,0.753071,0.852627,0.674333
Simple_LR_No_Weights,5,sentence_length_deviation | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_fwa_sld_svd_vgd_ad957358.pkl,0.6688,0.645244,0.694649,0.6024,0.809932,0.807551,0.86238,0.759278
Simple_LR_No_Weights,5,burstiness | dependency_tree_depth | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_svd_vgd_b5827d23.pkl,0.66,0.635818,0.684502,0.5936,0.833975,0.834275,0.876821,0.795667
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,lr_models/lr_bur_dtd_fwa_sld_vgd_f1266f5e.pkl,0.6622,0.630658,0.69561,0.5768,0.851132,0.856886,0.865382,0.848556
Simple_LR_No_Weights,6,sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_dtd_fwa_sld_svd_vgd_c67590a3.pkl,0.6642,0.629768,0.70172,0.5712,0.83453,0.831496,0.893772,0.777333
Simple_LR_No_Weights,4,sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,lr_models/lr_dtd_fwa_sld_vgd_3d371a58.pkl,0.6608,0.628722,0.694391,0.5744,0.851949,0.857632,0.866383,0.849056
Simple_LR_No_Weights,7,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_sld_svd_vgd_16c6a0d3.pkl,0.6626,0.628168,0.699558,0.57,0.834121,0.83096,0.893929,0.776278
Simple_LR_No_Weights,7,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_lex_sld_svd_vgd_5c4c0954.pkl,0.6616,0.62616,0.699408,0.5668,0.818482,0.821415,0.849837,0.794833
Simple_LR_No_Weights,4,burstiness | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_svd_vgd_a5cbdb80.pkl,0.645,0.625922,0.66147,0.594,0.809086,0.802069,0.880454,0.7365
Simple_LR_No_Weights,4,burstiness | sentence_length_deviation | verb_gap_deviation | function_word_adjacency,lr_models/lr_bur_fwa_sld_vgd_52563313.pkl,0.6536,0.62527,0.680961,0.578,0.819299,0.820872,0.856212,0.788333
Simple_LR_No_Weights,7,burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_lex_sld_svd_vgd_0bddf04f.pkl,0.6564,0.625218,0.68762,0.5732,0.79263,0.789765,0.844606,0.741611
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_lex_sld_svd_vgd_a4d9f3fe.pkl,0.6556,0.624346,0.68666,0.5724,0.792338,0.789319,0.844813,0.740667
Simple_LR_No_Weights,6,sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_lex_sld_svd_vgd_58f23e13.pkl,0.6598,0.624254,0.697089,0.5652,0.820203,0.823012,0.851986,0.795944
Simple_LR_No_Weights,5,sentence_length_deviation | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_fwa_lex_sld_svd_vgd_2255eda8.pkl,0.6526,0.620494,0.683678,0.568,0.794468,0.79119,0.848163,0.741389
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | clause_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_sld_svd_08ab91ba.pkl,0.6522,0.620057,0.683197,0.5676,0.800333,0.79083,0.879103,0.718667
Simple_LR_No_Weights,6,sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_fwa_lex_sld_svd_vgd_e26652b7.pkl,0.6522,0.620057,0.683197,0.5676,0.794439,0.791191,0.848021,0.7415
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | function_word_adjacency,lr_models/lr_bur_cld_fwa_sld_vgd_2b9737fe.pkl,0.6494,0.619822,0.67693,0.5716,0.815914,0.816305,0.857632,0.778778
Simple_LR_No_Weights,4,burstiness | sentence_length_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_sld_svd_1072e8f1.pkl,0.6506,0.618476,0.681097,0.5664,0.798553,0.788208,0.880052,0.713722
Simple_LR_No_Weights,4,sentence_length_deviation | clause_density | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_fwa_sld_svd_72185379.pkl,0.6494,0.618332,0.678452,0.568,0.80112,0.792119,0.878144,0.721444
Simple_LR_No_Weights,4,sentence_length_deviation | clause_density | verb_gap_deviation | function_word_adjacency,lr_models/lr_cld_fwa_sld_vgd_e712c38d.pkl,0.6464,0.615986,0.673954,0.5672,0.817489,0.817814,0.859548,0.779944
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | dependency_tree_depth | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_sld_svd_69c9310c.pkl,0.6498,0.614572,0.683309,0.5584,0.826476,0.819913,0.901152,0.752111
Simple_LR_No_Weights,4,sentence_length_deviation | dependency_tree_depth | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_sld_svd_9eef4581.pkl,0.6488,0.612533,0.683071,0.5552,0.827614,0.82123,0.901781,0.753889
Simple_LR_No_Weights,5,burstiness | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_svd_vgd_876545e0.pkl,0.6352,0.609589,0.655617,0.5696,0.792805,0.778087,0.889278,0.691611
Simple_LR_No_Weights,4,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation,lr_models/lr_bur_dtd_sld_vgd_b6007066.pkl,0.6502,0.609511,0.689742,0.546,0.750146,0.775691,0.733879,0.822556
Simple_LR_No_Weights,6,burstiness | dependency_tree_depth | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_lex_svd_vgd_0a016400.pkl,0.6398,0.607711,0.667145,0.558,0.812237,0.811041,0.860168,0.767222
Simple_LR_No_Weights,5,burstiness | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_lex_svd_vgd_6510825f.pkl,0.633,0.607487,0.652874,0.568,0.79333,0.784022,0.868942,0.714222
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_lex_sld_svd_5df6b15a.pkl,0.6438,0.607103,0.676832,0.5504,0.78551,0.773599,0.867994,0.697722
Simple_LR_No_Weights,5,sentence_length_deviation | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_fwa_lex_sld_svd_c3e1779c.pkl,0.6422,0.606034,0.674179,0.5504,0.788136,0.776701,0.869877,0.701556
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance,lr_models/lr_bur_cld_dtd_sld_svd_vgd_38429f27.pkl,0.6496,0.605228,0.692982,0.5372,0.762313,0.756501,0.818817,0.703
Simple_LR_No_Weights,8,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_lex_sld_svd_vgd_e957e729.pkl,0.6476,0.604933,0.688265,0.5396,0.812208,0.808327,0.871164,0.753944
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_lex_sld_svd_45deb0f7.pkl,0.64,0.602824,0.672244,0.5464,0.780929,0.765989,0.872479,0.682667
Simple_LR_No_Weights,5,sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance,lr_models/lr_cld_dtd_sld_svd_vgd_5c41ba22.pkl,0.647,0.602388,0.689531,0.5348,0.763276,0.757089,0.821027,0.702389
Simple_LR_No_Weights,4,sentence_length_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_fwa_lex_sld_svd_c65383bd.pkl,0.639,0.60216,0.670594,0.5464,0.78195,0.767377,0.872637,0.684778
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_bur_dtd_fwa_lex_sld_vgd_e606e88b.pkl,0.643,0.602007,0.680101,0.54,0.828373,0.834515,0.84536,0.823944
Simple_LR_No_Weights,5,sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_dtd_fwa_lex_sld_vgd_d20b0b67.pkl,0.6424,0.601959,0.678715,0.5408,0.830678,0.836816,0.847275,0.826611
Simple_LR_No_Weights,5,dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_dtd_fwa_svd_vgd_73bb8c30.pkl,0.6424,0.601427,0.679255,0.5396,0.750613,0.704369,0.933187,0.565667
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_sld_vgd_9a33312e.pkl,0.6418,0.601025,0.67823,0.5396,0.842495,0.842348,0.887993,0.801167
Simple_LR_No_Weights,5,sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | function_word_adjacency,lr_models/lr_cld_dtd_fwa_sld_vgd_5b999121.pkl,0.641,0.600134,0.677225,0.5388,0.8434,0.843304,0.888684,0.802333
Simple_LR_No_Weights,7,sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_dtd_fwa_lex_sld_svd_vgd_5b064455.pkl,0.6436,0.59991,0.683726,0.5344,0.813463,0.809568,0.872712,0.754944
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_sld_svd_175af26e.pkl,0.64,0.599466,0.675527,0.5388,0.811858,0.799128,0.909645,0.712556
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_bur_cld_fwa_lex_sld_vgd_d7027f3a.pkl,0.636,0.598588,0.667158,0.5428,0.801616,0.801969,0.842895,0.764833
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_bur_fwa_lex_sld_vgd_d8113828.pkl,0.6362,0.598543,0.667651,0.5424,0.802463,0.803255,0.842169,0.767778
Simple_LR_No_Weights,5,sentence_length_deviation | dependency_tree_depth | clause_density | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_dtd_fwa_sld_svd_e1591cc3.pkl,0.6372,0.596889,0.6715,0.5372,0.813755,0.801258,0.911454,0.714833
Simple_LR_No_Weights,6,burstiness | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_lex_svd_vgd_63629cd0.pkl,0.6246,0.596431,0.644816,0.5548,0.783643,0.767693,0.880236,0.680667
Simple_LR_No_Weights,6,burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_svd_vgd_4fbcf03f.pkl,0.6356,0.594751,0.66984,0.5348,0.812471,0.797224,0.922526,0.701889
Simple_LR_No_Weights,4,dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_dtd_fwa_lex_vgd_ce153900.pkl,0.6306,0.594155,0.659191,0.5408,0.831203,0.832654,0.86861,0.799556
Simple_LR_No_Weights,5,sentence_length_deviation | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_cld_fwa_lex_sld_vgd_f21e1143.pkl,0.633,0.593217,0.665341,0.5352,0.803805,0.804228,0.844916,0.767278
Simple_LR_No_Weights,4,sentence_length_deviation | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_fwa_lex_sld_vgd_c25cf380.pkl,0.6328,0.592724,0.665339,0.5344,0.804797,0.805512,0.844859,0.769667
Simple_LR_No_Weights,4,burstiness | dependency_tree_depth | verb_gap_deviation | function_word_adjacency,lr_models/lr_bur_dtd_fwa_vgd_088a8ede.pkl,0.6242,0.591965,0.647506,0.5452,0.848856,0.85315,0.871078,0.835944
Simple_LR_No_Weights,4,burstiness | dependency_tree_depth | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_svd_5d310722.pkl,0.6254,0.591316,0.650504,0.542,0.796539,0.776614,0.917215,0.673389
Simple_LR_No_Weights,4,burstiness | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_lex_svd_bc339a67.pkl,0.616,0.584055,0.637051,0.5392,0.767157,0.737448,0.904228,0.622611
Simple_LR_No_Weights,4,burstiness | clause_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_svd_9be28cd4.pkl,0.6112,0.581034,0.629907,0.5392,0.765465,0.731422,0.917589,0.608056
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | dependency_tree_depth | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_lex_sld_svd_49daabc7.pkl,0.6274,0.580689,0.663922,0.516,0.798086,0.784665,0.891907,0.700444
Simple_LR_No_Weights,5,sentence_length_deviation | dependency_tree_depth | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_lex_sld_svd_fc9a56b6.pkl,0.6274,0.580122,0.66443,0.5148,0.799311,0.786344,0.89184,0.703167
Simple_LR_No_Weights,4,burstiness | sentence_length_deviation | clause_density | function_word_adjacency,lr_models/lr_bur_cld_fwa_sld_f7dbac39.pkl,0.6192,0.579134,0.647233,0.524,0.815068,0.809761,0.880713,0.749389
Simple_LR_No_Weights,7,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_lex_sld_vgd_b20511a0.pkl,0.6278,0.578864,0.666493,0.5116,0.823792,0.823447,0.869053,0.782389
Simple_LR_No_Weights,7,burstiness | sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_sld_swg_svd_vgd_5661e5ba.pkl,0.6318,0.578236,0.676676,0.5048,0.83593,0.839044,0.865427,0.814222
Simple_LR_No_Weights,6,sentence_length_deviation | dependency_tree_depth | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_sld_swg_svd_vgd_9eafa60e.pkl,0.632,0.5774,0.677994,0.5028,0.837447,0.840669,0.866313,0.8165
Simple_LR_No_Weights,6,sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_cld_dtd_fwa_lex_sld_vgd_086e33d9.pkl,0.626,0.577114,0.663892,0.5104,0.824959,0.824739,0.869739,0.784167
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation,lr_models/lr_bur_cld_dtd_sld_vgd_cfa1d65a.pkl,0.6292,0.576906,0.671626,0.5056,0.788428,0.788224,0.830962,0.749667
Simple_LR_No_Weights,5,burstiness | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_lex_svd_deaa5d26.pkl,0.6102,0.576764,0.630879,0.5312,0.758345,0.721595,0.913602,0.596278
Simple_LR_No_Weights,4,sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation,lr_models/lr_cld_dtd_sld_vgd_c0eb8370.pkl,0.6284,0.575023,0.671474,0.5028,0.789332,0.789123,0.831937,0.7505
Simple_LR_No_Weights,5,burstiness | dependency_tree_depth | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_lex_svd_6fba10dd.pkl,0.6138,0.574201,0.639803,0.5208,0.77769,0.751135,0.911455,0.638778
Simple_LR_No_Weights,4,sentence_length_deviation | dependency_tree_depth | clause_density | subject_verb_distance,lr_models/lr_cld_dtd_sld_svd_9aca73b6.pkl,0.6238,0.573952,0.661619,0.5068,0.745973,0.721729,0.849767,0.627222
Simple_LR_No_Weights,5,burstiness | dependency_tree_depth | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_bur_dtd_fwa_lex_vgd_8526dcea.pkl,0.614,0.573386,0.64081,0.5188,0.833742,0.83829,0.856869,0.8205
Simple_LR_No_Weights,7,burstiness | sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_lex_sld_svd_8b487dbd.pkl,0.622,0.573363,0.658031,0.508,0.791725,0.773756,0.900812,0.678111
Simple_LR_No_Weights,4,burstiness | sentence_length_deviation | dependency_tree_depth | function_word_adjacency,lr_models/lr_bur_dtd_fwa_sld_1fc640d1.pkl,0.6178,0.57277,0.649265,0.5124,0.842991,0.840549,0.900679,0.787944
Simple_LR_No_Weights,4,burstiness | verb_gap_deviation | lexical_density | function_word_adjacency,lr_models/lr_bur_fwa_lex_vgd_6ce9004d.pkl,0.607,0.571242,0.628421,0.5236,0.818482,0.816787,0.869132,0.770389
Simple_LR_No_Weights,7,burstiness | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_dtd_fwa_lex_svd_vgd_486487ce.pkl,0.6192,0.571171,0.653608,0.5072,0.794439,0.775558,0.909104,0.676222
Simple_LR_No_Weights,6,sentence_length_deviation | dependency_tree_depth | clause_density | lexical_density | subject_verb_distance | function_word_adjacency,lr_models/lr_cld_dtd_fwa_lex_sld_svd_a70598dd.pkl,0.6194,0.56936,0.65555,0.5032,0.792775,0.775097,0.901311,0.679889
Simple_LR_No_Weights,4,burstiness | clause_density | verb_gap_deviation | function_word_adjacency,lr_models/lr_bur_cld_fwa_vgd_aa01d559.pkl,0.6028,0.566754,0.623321,0.5196,0.812471,0.804288,0.889952,0.733667
Simple_LR_No_Weights,6,burstiness | sentence_length_deviation | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_fwa_sld_swg_svd_vgd_10028fe3.pkl,0.6186,0.5659,0.65663,0.4972,0.80506,0.80317,0.854983,0.757278
Simple_LR_No_Weights,5,burstiness | sentence_length_deviation | clause_density | lexical_density | function_word_adjacency,lr_models/lr_bur_cld_fwa_lex_sld_d7cd27aa.pkl,0.6118,0.56548,0.642095,0.5052,0.80433,0.797439,0.873825,0.733333
Simple_LR_No_Weights,6,burstiness | dependency_tree_depth | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_dtd_fwa_swg_svd_vgd_9c8983d2.pkl,0.6102,0.561924,0.641355,0.5,0.824317,0.823705,0.870798,0.781444
Simple_LR_No_Weights,7,burstiness | sentence_length_deviation | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,lr_models/lr_bur_cld_fwa_sld_swg_svd_vgd_078f1116.pkl,0.6158,0.561916,0.653581,0.4928,0.802609,0.799573,0.856599,0.749667
Simple_LR_No_Weights,5,sentence_length_deviation | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,lr_models/lr_fwa_sld_swg_svd_vgd_b33fc42f.pkl,0.6154,0.56146,0.65305,0.4924,0.806022,0.803963,0.856712,0.757333
Simple_LR_No_Weights,5,dependency_tree_depth | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,lr_models/lr_dtd_fwa_swg_svd_vgd_16d2f37e.pkl,0.6102,0.560739,0.64223,0.4976,0.783759,0.773052,0.861276,0.701222
